Key, Image, Comment, GridSize, Actual,Grass, %Grass,Algorithm,Canopeo,,,,,,,,,,,,,,, 
65, Ta00819.jpg,   ,100,100,16,16,12.03167023,10.37,,,,,,,,,,,,,,, 
66, Ta00830.jpg,   ,100,100,20,20,18.67830295,14.05,,,,,,,,,,,,,,, 
67, Ta00834.jpg,   ,100,100,2,2,2.466541122,1.43,,,,,,,,,,,,,,, 
68, Ta00866.jpg,   ,100,100,1,1,1.507625764,0.28,,,,,,,,,,,,,,, 
69, Ta00872.jpg,   ,100,100,0,0,0.845221507,0.34,,,,,,,,,,,,,,, 
70, Ta00881.jpg,   ,100,100,7,7,6.064940019,4.33,,,,,,,,,,,,,,, 
71, Ta00882.jpg,   ,100,100,17,17,17.51423062,15,,,,,,,,,,,,,,, 
72, Ta00907.jpg,   ,100,100,12,12,12.63652217,10.09,,,,,,,,,,,,,,, 
73, Ta00908.jpg,   ,100,100,10,10,7.970772437,5.37,,,,,,,,,,,,,,, 
74, Ta00909.jpg,   ,100,100,17,17,14.72603748,12.34,,,,,,,,,,,,,,, 
75, Ta00926.jpg,   ,100,100,10,10,8.209907607,5.88,,,,,,,,,,,,,,, 
76, Ta00927.jpg,   ,100,100,17,17,13.77529231,10.45,,,,,,,,,,,,,,, 
77, Ta00928.jpg,   ,100,100,25,25,20.93624478,17.09,,,,,,,,,,,,,,, 
78, Ta00956.jpg,   ,100,100,9,9,9.221967538,6.08,,,,,,,,,,,,,,, 
79, Ta00960.jpg,   ,100,100,17,17,17.37586843,14.42,,,,,,,,,,,,,,, 
80, Ta00975.jpg,   ,100,100,4,4,5.444676629,3.15,,,,,,,,,,,,,,, 
81, Ta00978.jpg,   ,100,100,2,2,5.204879913,3.6,,,,,,,,,,,,,,, 
82, Ta00996.jpg,   ,100,100,9,9,9.226347483,6.97,,,,,,,,,,,,,,, 
83, Ta01001.jpg,   ,100,100,9,9,2.956441624,8.15,,,,,,,,,,,,,,, 
84, Ta01038.jpg,   ,100,100,21,21,19.22246191,15.18,,,,,,,,,,,,,,, 
85, Ta01039.jpg,   ,100,100,11,11,10.57561243,8.48,,,,,,,,,,,,,,, 
86, Ta01044.jpg,   ,100,99,5,5.1,5.869521149,4.06,,,,,,,,,,,,,,, 
87, Ta01054.jpg,   ,100,100,0,0,0.805499854,0.19,,,,,,,,,,,,,,, 
88, Ta01068.jpg,   ,100,100,11,11,13.47089308,10.56,,,,,,,,,,,,,,, 
89, Ta01070.jpg,   ,100,100,2,2,2.6995,4.8,,,,,,,,,,,,,,, 
90, Ta01094.jpg,   ,100,100,11,11,12.1044,7.87,,,,,,,,,,,,,,, 
91, Ta01100.jpg,   ,100,100,8,8,8.2663,7.46,,,,,,,,,,,,,,, 
92,Ta01175.jpg,,100,100,9,,8.5663,6.92,,,,,,,,,,,,,,,
93,Ta01178.jpg,,100,100,12,,10.4755,7.2,,,,,,,,,,,,,,,
94,Ta01188.jpg,,100,100,16,,14.5698,12.85,,,,,,,,,,,,,,,
95,Ta01191.jpg,,100,100,20,,19.1422,16.61,,,,,,,,,,,,,,,
96,Ta01196.jpg,,100,100,14,,13.4156,10.13,,,,,,,,,,,,,,,
97,Ta01203.jpg,,100,100,15,,12.2365,10.16,,,,,,,,,,,,,,,
98,Ta01211.jpg,,100,100,9,,7.9877,5,,,,,,,,,,,,,,,
99,Ta01212.jpg,,100,100,27,,25.2145,21.95,,,,,,,,,,,,,,,
100,Ta01242.jpg,,100,100,7,,5.9877,3.09,,,,,,,,,,,,,,,
